,algos,envs,hp_name,hp_importance
0,ppo,atari_qbert,normalize_advantage,0.00012678503318034126
1,ppo,atari_qbert,vf_clip_eps,0.00024143253303156916
2,ppo,atari_qbert,minibatch_size,0.0019677974536199466
3,ppo,atari_qbert,gae_lambda,0.0022758399106479013
4,ppo,atari_qbert,clip_eps,0.006316932778190218
5,ppo,atari_qbert,vf_coef,0.017455992998437475
6,ppo,atari_qbert,learning_rate,0.17621091807185874
7,ppo,atari_qbert,max_grad_norm,0.1806770457033181
8,ppo,atari_qbert,ent_coef,0.2146890061598715
9,ppo,atari_double_dunk,minibatch_size,0.00013008125247742963
10,ppo,atari_double_dunk,learning_rate,0.0002158827919592275
11,ppo,atari_double_dunk,clip_eps,0.00022017683843323995
12,ppo,atari_double_dunk,max_grad_norm,0.0005511822566514256
13,ppo,atari_double_dunk,gae_lambda,0.0008305484057059248
14,ppo,atari_double_dunk,vf_coef,0.0015591419271344875
15,ppo,atari_double_dunk,normalize_advantage,0.002242398052579731
16,ppo,atari_double_dunk,vf_clip_eps,0.3047797361814405
17,ppo,atari_double_dunk,ent_coef,0.5031510276386879
18,ppo,atari_this_game,normalize_advantage,0.0009018835374824316
19,ppo,atari_this_game,gae_lambda,0.013428222431265397
20,ppo,atari_this_game,minibatch_size,0.01621583245023825
21,ppo,atari_this_game,vf_clip_eps,0.018876897145843535
22,ppo,atari_this_game,clip_eps,0.023485705072177763
23,ppo,atari_this_game,vf_coef,0.024122587364138148
24,ppo,atari_this_game,ent_coef,0.16458459960953756
25,ppo,atari_this_game,max_grad_norm,0.20838274772597046
26,ppo,atari_this_game,learning_rate,0.21722874438350584
27,ppo,atari_battle_zone,normalize_advantage,0.00030291182021911344
28,ppo,atari_battle_zone,minibatch_size,0.0008627866651892288
29,ppo,atari_battle_zone,gae_lambda,0.0026795636753144344
30,ppo,atari_battle_zone,vf_coef,0.007261707600112225
31,ppo,atari_battle_zone,clip_eps,0.008824513468309442
32,ppo,atari_battle_zone,vf_clip_eps,0.009131880403513848
33,ppo,atari_battle_zone,max_grad_norm,0.030168703177120632
34,ppo,atari_battle_zone,ent_coef,0.07004030993969665
35,ppo,atari_battle_zone,learning_rate,0.49849745794313066
36,ppo,box2d_lunar_lander,gae_lambda,0.0007646310466098768
37,ppo,box2d_lunar_lander,vf_coef,0.0008204657461180446
38,ppo,box2d_lunar_lander,max_grad_norm,0.0008856728375537055
39,ppo,box2d_lunar_lander,vf_clip_eps,0.0013764785068607764
40,ppo,box2d_lunar_lander,minibatch_size,0.0013778063558113449
41,ppo,box2d_lunar_lander,clip_eps,0.005059853367971349
42,ppo,box2d_lunar_lander,normalize_advantage,0.013507355749608565
43,ppo,box2d_lunar_lander,ent_coef,0.05609619018867194
44,ppo,box2d_lunar_lander,learning_rate,0.6947625184633602
45,ppo,box2d_bipedal_walker,clip_eps,0.00036680599055222065
